Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-06-02,62.0155,62.5403,61.3158,62.1029,152031.11858863
2021-06-04,62.2779,62.3654,60.7471,61.272,169039.44278207
2021-06-07,61.272,62.1904,61.1407,61.3595,252067.77754204
2021-06-08,61.3158,62.3654,61.0533,62.0155,96500.546381632
2021-06-09,62.1029,62.1029,60.8784,60.8784,99229.515249665
2021-06-10,60.9221,62.1029,60.9221,62.0593,68332.831689297
2021-06-11,61.8405,61.8405,61.1845,61.1845,38290.165617165
2021-06-14,61.7094,61.7094,61.2283,61.6219,73470.655775154
2021-06-15,61.928,62.3654,61.6656,61.9718,91032.319278237
2021-06-16,61.4032,62.2779,61.4032,61.8405,85642.977324358
2021-06-17,61.4032,61.9718,61.4032,61.6656,70028.290772369
2021-06-18,61.6656,64.4646,61.5782,63.8523,226028.8186236
2021-06-21,63.6774,63.6774,62.4528,62.8464,48858.489126214
2021-06-22,62.8902,63.3275,62.3216,63.1087,94937.705810789
2021-06-23,63.1526,63.5024,62.7152,63.0214,64261.672016458
2021-06-24,63.1526,64.6833,63.0651,64.3772,166943.84163624
2021-06-25,64.4209,65.6892,64.4209,65.6455,137371.05667209
2021-06-28,65.6017,67.0449,64.8145,67.0449,81631.267329415
2021-06-29,67.0887,67.0887,66.6076,66.8263,128039.74376849
2021-06-30,66.695,68.4881,66.4764,67.4822,174647.14797591
2021-07-01,67.3511,67.4822,65.7766,66.4327,154860.69460388
2021-07-02,66.87,68.1383,66.4764,67.7885,86727.93394596
2021-07-05,67.8758,67.8758,66.9575,67.2636,47594.040207887
2021-07-06,67.6135,67.9634,67.2199,67.6572,37124.037319974
2021-07-07,67.6572,69.5815,67.6572,69.5378,135537.26276161
2021-07-08,69.4503,69.5378,69.013,69.3629,101578.92078959
2021-07-09,69.1442,69.6253,68.838,69.4066,128039.74376849
2021-07-12,69.1879,69.1879,67.3511,67.3511,79342.45473042
2021-07-13,67.8321,69.4066,67.8321,69.1442,67138.121816195
2021-07-14,69.3191,70.1938,68.7944,69.4503,86836.543934424
2021-07-15,69.5378,70.8498,69.5378,69.8439,99922.332649761
2021-07-16,70.0189,70.4563,68.9692,69.3629,53930.003955956
